Wavelength (nm)	R (a.u.)
206.39915981	0.0937712
216.633469742513	0.108878503770855
226.867779668996	0.124430591185833
237.954948756021	0.13904417374522
253.306413645747	0.151168936588848
272.069315177634	0.15023097777688
290.832216709521	0.14274255769747
309.595118241408	0.141440684370645
328.358019773295	0.144991004575258
347.120921305182	0.151088726383877
365.883822837069	0.159006020766786
384.646724368957	0.168924844981413
401.703907579763	0.181804720557301
415.349654148408	0.196155003837979
427.289682395973	0.21119620507771
439.229710643537	0.226618650094911
452.022598051642	0.241682398501424
466.521203780828	0.256208785470365
481.872668670554	0.270567097717353
496.371274399739	0.28539927396614
509.164161807844	0.301523356628742
520.251330894868	0.317693684612799
530.485640821352	0.33291218372249
541.572809908376	0.348844234345629
555.218556477022	0.364677132316469
572.275739687828	0.37880375206363
591.038641219715	0.392664983522551
608.095824430522	0.407297040095903
622.594430159707	0.422064351951995
636.240176728353	0.435971174588742
650.738782457538	0.449932314707058
666.943106507804	0.464029888813958
684.853148879151	0.478286641566618
703.616050411038	0.491905263348967
722.378951942925	0.506069756903603
741.141853474813	0.517019672243661
759.9047550067	0.518568462616556
778.667656538587	0.511019390118003
797.430558070474	0.501408135368589
816.193459602361	0.493919715289179
834.956361134248	0.487037819401199
853.719262666136	0.478093741262357
872.482164198023	0.4684218340938
889.539347408829	0.456245521405953
902.332234816934	0.44210440794251
911.713685582878	0.427568110789963
920.242277188281	0.412343678375801
928.770868793684	0.395651457418379
936.446601238547	0.379894564285069
943.26947452287	0.365206434297985
950.092347807192	0.350518304310902
956.915221091515	0.335329791865889
963.738094375838	0.31980769111559
970.56096766016	0.304452384517933
977.383840944483	0.288429901309704
984.206714228805	0.27107306488033
991.029587513128	0.254049816756241
997.85246079745	0.23635939202158
1003.82247492123	0.22078297378971
1008.93962988447	0.206319797144771
1014.05678484772	0.191189443889259
1019.17393981096	0.176281482837272
1024.2910947742	0.160261560767663
1029.40824973744	0.145131207512151
1034.52540470068	0.130223246460164
1040.49541882447	0.114035249668602
1047.31829210879	0.0963448249339405
1054.99402455365	0.079887396359529
1063.52261615906	0.0642626579790234
1072.904066925	0.0496596431654194
1083.13837685148	0.0348551947993334
1093.37268677797	0.0203843347385339
1099.34270090175	0.0113684865106296
