,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
Trap 1,3.476326218452339,8.212267840163223,0.3418499853499141,0.005458575861041777,3.0573458567656393e-19,7.174072498780454e-20,2021-11-18-16-54-54,,1212,4,False,1,0,8,475,180,170,,5
Trap 1,3.5909221488078136,8.706984253739163,0.3418499853499141,0.005458575861041777,3.0573458567656393e-19,7.174072498780454e-20,2021-11-18-16-54-54,,1212,4,False,1,0,8,475,180,170,,5
Trap 1,3.6674368284006307,9.02152466328347,0.3418499853499141,0.005458575861041777,3.0573458567656393e-19,7.174072498780454e-20,2021-11-18-16-54-54,,1212,4,False,1,0,8,475,180,170,,5
Trap 1,3.73566438791139,9.246979028875908,0.3418499853499141,0.005458575861041777,3.0573458567656393e-19,7.174072498780454e-20,2021-11-18-16-54-54,,1212,4,False,1,0,8,475,180,170,,5
Trap 1,3.776720296094872,9.43271324905896,0.3418499853499141,0.005458575861041777,3.0573458567656393e-19,7.174072498780454e-20,2021-11-18-16-54-54,,1212,4,False,1,0,8,475,180,170,,5
Trap 1,3.819417920708884,9.58223531073919,0.3418499853499141,0.005458575861041777,3.0573458567656393e-19,7.174072498780454e-20,2021-11-18-16-54-54,,1212,4,False,1,0,8,475,180,170,,5
Trap 1,3.8497074222359102,9.712929191201528,0.3418499853499141,0.005458575861041777,3.0573458567656393e-19,7.174072498780454e-20,2021-11-18-16-54-54,,1212,4,False,1,0,8,475,180,170,,5
