,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Sample name,PICTS method,Info
Trap 1,3.317299718029524,7.208999511499681,0.35781369520831063,0.011007826726664704,8.275946795131978e-19,3.627010919565822e-19,2021-10-12-16-28-50,1212,2gates,
Trap 1,3.3638320775026913,7.390231198971867,0.35781369520831063,0.011007826726664704,8.275946795131978e-19,3.627010919565822e-19,2021-10-12-16-28-50,1212,2gates,
Trap 1,3.3924754893645894,7.546121763049062,0.35781369520831063,0.011007826726664704,8.275946795131978e-19,3.627010919565822e-19,2021-10-12-16-28-50,1212,2gates,
Trap 1,3.416817576109611,7.6791360159313315,0.35781369520831063,0.011007826726664704,8.275946795131978e-19,3.627010919565822e-19,2021-10-12-16-28-50,1212,2gates,
Trap 1,3.451370193967005,7.787402724914032,0.35781369520831063,0.011007826726664704,8.275946795131978e-19,3.627010919565822e-19,2021-10-12-16-28-50,1212,2gates,
Trap 1,3.476326218452339,7.886736561716402,0.35781369520831063,0.011007826726664704,8.275946795131978e-19,3.627010919565822e-19,2021-10-12-16-28-50,1212,2gates,
Trap 1,3.501400560224089,7.974518696414319,0.35781369520831063,0.011007826726664704,8.275946795131978e-19,3.627010919565822e-19,2021-10-12-16-28-50,1212,2gates,
Trap 1,3.5222429643196786,8.055308330800731,0.35781369520831063,0.011007826726664704,8.275946795131978e-19,3.627010919565822e-19,2021-10-12-16-28-50,1212,2gates,
