,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
"Scan3 +5V, Trap2(2G)",2.9776970491022245,7.516794303112904,0.26707404540910806,0.006791035474236733,6.533810860339992e-21,1.567399367335879e-21,2021-11-04-19-12-11,21/10/2021,1511,2,False,3,0,5,,,,,3
"Scan3 +5V, Trap2(2G)",2.999760019198464,7.597102304890786,0.26707404540910806,0.006791035474236733,6.533810860339992e-21,1.567399367335879e-21,2021-11-04-19-12-11,21/10/2021,1511,2,False,3,0,5,,,,,3
"Scan3 +5V, Trap2(2G)",3.0269092229924026,7.665918171338511,0.26707404540910806,0.006791035474236733,6.533810860339992e-21,1.567399367335879e-21,2021-11-04-19-12-11,21/10/2021,1511,2,False,3,0,5,,,,,3
"Scan3 +5V, Trap2(2G)",3.049617273032234,7.730851444689864,0.26707404540910806,0.006791035474236733,6.533810860339992e-21,1.567399367335879e-21,2021-11-04-19-12-11,21/10/2021,1511,2,False,3,0,5,,,,,3
"Scan3 +5V, Trap2(2G)",3.0683317480285965,7.792581852032159,0.26707404540910806,0.006791035474236733,6.533810860339992e-21,1.567399367335879e-21,2021-11-04-19-12-11,21/10/2021,1511,2,False,3,0,5,,,,,3
"Scan3 +5V, Trap2(2G)",3.082519034555038,7.85222630386638,0.26707404540910806,0.006791035474236733,6.533810860339992e-21,1.567399367335879e-21,2021-11-04-19-12-11,21/10/2021,1511,2,False,3,0,5,,,,,3
"Scan3 +5V, Trap2(2G)",3.101448376391775,7.9044180295397855,0.26707404540910806,0.006791035474236733,6.533810860339992e-21,1.567399367335879e-21,2021-11-04-19-12-11,21/10/2021,1511,2,False,3,0,5,,,,,3
"Scan3 +5V,Trap 1(2G)",3.4529194433893857,7.220654524626873,1.0777456545086115,0.03622916487448316,4.824153356158033e-06,7.039099513346416e-06,2021-11-04-19-12-11,21/10/2021,1511,2,False,3,0,5,,,,,3
"Scan3 +5V,Trap 1(2G)",3.45865181752153,7.312409158582832,1.0777456545086115,0.03622916487448316,4.824153356158033e-06,7.039099513346416e-06,2021-11-04-19-12-11,21/10/2021,1511,2,False,3,0,5,,,,,3
"Scan3 +5V,Trap 1(2G)",3.4645232815964526,7.3958521681013,1.0777456545086115,0.03622916487448316,4.824153356158033e-06,7.039099513346416e-06,2021-11-04-19-12-11,21/10/2021,1511,2,False,3,0,5,,,,,3
"Scan3 +5V,Trap 1(2G)",3.470655606844133,7.472196618072197,1.0777456545086115,0.03622916487448316,4.824153356158033e-06,7.039099513346416e-06,2021-11-04-19-12-11,21/10/2021,1511,2,False,3,0,5,,,,,3
"Scan3 +5V,Trap 1(2G)",3.476567932137394,7.542758709237267,1.0777456545086115,0.03622916487448316,4.824153356158033e-06,7.039099513346416e-06,2021-11-04-19-12-11,21/10/2021,1511,2,False,3,0,5,,,,,3
"Scan3 +5V,Trap 1(2G)",3.4826217176290313,7.608149811452057,1.0777456545086115,0.03622916487448316,4.824153356158033e-06,7.039099513346416e-06,2021-11-04-19-12-11,21/10/2021,1511,2,False,3,0,5,,,,,3
"Scan3 +5V,Trap 1(2G)",3.4884532198423215,7.669239601704774,1.0777456545086115,0.03622916487448316,4.824153356158033e-06,7.039099513346416e-06,2021-11-04-19-12-11,21/10/2021,1511,2,False,3,0,5,,,,,3
