,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
"Scan2 -5V,Trap 1(4G)",3.7138824927579295,8.964032302608679,0.5801407300607763,0.009782077786829985,1.0922457198768703e-14,4.660949438815264e-15,2021-11-04-19-11-12,14/10/2021,1511,4,True,2,0,-5,,,,,3
"Scan2 -5V,Trap 1(4G)",3.7345483063823433,9.10708487750075,0.5801407300607763,0.009782077786829985,1.0922457198768703e-14,4.660949438815264e-15,2021-11-04-19-11-12,14/10/2021,1511,4,True,2,0,-5,,,,,3
"Scan2 -5V,Trap 1(4G)",3.755445395823945,9.229492176972968,0.5801407300607763,0.009782077786829985,1.0922457198768703e-14,4.660949438815264e-15,2021-11-04-19-11-12,14/10/2021,1511,4,True,2,0,-5,,,,,3
"Scan2 -5V,Trap 1(4G)",3.7696019300361887,9.33976815331743,0.5801407300607763,0.009782077786829985,1.0922457198768703e-14,4.660949438815264e-15,2021-11-04-19-11-12,14/10/2021,1511,4,True,2,0,-5,,,,,3
"Scan2 -5V,Trap 1(4G)",3.7834361166811696,9.437748328646787,0.5801407300607763,0.009782077786829985,1.0922457198768703e-14,4.660949438815264e-15,2021-11-04-19-11-12,14/10/2021,1511,4,True,2,0,-5,,,,,3
"Scan2 -5V,Trap 1(4G)",3.797660641045116,9.525571209889552,0.5801407300607763,0.009782077786829985,1.0922457198768703e-14,4.660949438815264e-15,2021-11-04-19-11-12,14/10/2021,1511,4,True,2,0,-5,,,,,3
"Scan2 -5V,Trap 2(4G)",3.185017676848106,9.27127227139172,0.417964996920727,0.006019723585423021,5.648335939902813e-19,1.279920052359839e-19,2021-11-04-19-11-12,14/10/2021,1511,4,True,2,0,-5,,,,,3
"Scan2 -5V,Trap 2(4G)",3.210479003467317,9.40949833275133,0.417964996920727,0.006019723585423021,5.648335939902813e-19,1.279920052359839e-19,2021-11-04-19-11-12,14/10/2021,1511,4,True,2,0,-5,,,,,3
"Scan2 -5V,Trap 2(4G)",3.236141225203068,9.527142681175242,0.417964996920727,0.006019723585423021,5.648335939902813e-19,1.279920052359839e-19,2021-11-04-19-11-12,14/10/2021,1511,4,True,2,0,-5,,,,,3
"Scan2 -5V,Trap 2(4G)",3.2572228917624835,9.631957050116771,0.417964996920727,0.006019723585423021,5.648335939902813e-19,1.279920052359839e-19,2021-11-04-19-11-12,14/10/2021,1511,4,True,2,0,-5,,,,,3
"Scan2 -5V,Trap 2(4G)",3.278366062354523,9.724323280124606,0.417964996920727,0.006019723585423021,5.648335939902813e-19,1.279920052359839e-19,2021-11-04-19-11-12,14/10/2021,1511,4,True,2,0,-5,,,,,3
"Scan2 -5V,Trap 2(4G)",3.2944587204322326,9.809857959754,0.417964996920727,0.006019723585423021,5.648335939902813e-19,1.279920052359839e-19,2021-11-04-19-11-12,14/10/2021,1511,4,True,2,0,-5,,,,,3
