,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
"Scan1 +5V,Trap 2(2G)",3.069650366823219,7.455967365816427,0.45221672406388297,0.0044341091701022,6.734574017993236e-18,1.1042527922576148e-18,2021-11-04-19-11-09,14/10/2021,1511,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 2(2G)",3.107520198881293,7.65408290402977,0.45221672406388297,0.0044341091701022,6.734574017993236e-18,1.1042527922576148e-18,2021-11-04-19-11-09,14/10/2021,1511,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 2(2G)",3.136664471001537,7.817400636158388,0.45221672406388297,0.0044341091701022,6.734574017993236e-18,1.1042527922576148e-18,2021-11-04-19-11-09,14/10/2021,1511,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 2(2G)",3.1614555341279122,7.955586299057858,0.45221672406388297,0.0044341091701022,6.734574017993236e-18,1.1042527922576148e-18,2021-11-04-19-11-09,14/10/2021,1511,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 2(2G)",3.1861339450710506,8.073370846255498,0.45221672406388297,0.0044341091701022,6.734574017993236e-18,1.1042527922576148e-18,2021-11-04-19-11-09,14/10/2021,1511,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 2(2G)",3.206464231891493,8.178286166435367,0.45221672406388297,0.0044341091701022,6.734574017993236e-18,1.1042527922576148e-18,2021-11-04-19-11-09,14/10/2021,1511,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 2(2G)",3.2270556344391377,8.270762668225723,0.45221672406388297,0.0044341091701022,6.734574017993236e-18,1.1042527922576148e-18,2021-11-04-19-11-09,14/10/2021,1511,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 2(2G)",3.2426472972534777,8.356306876087238,0.45221672406388297,0.0044341091701022,6.734574017993236e-18,1.1042527922576148e-18,2021-11-04-19-11-09,14/10/2021,1511,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 2(2G)",3.253090435914119,8.436850862037684,0.45221672406388297,0.0044341091701022,6.734574017993236e-18,1.1042527922576148e-18,2021-11-04-19-11-09,14/10/2021,1511,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 2(2G)",3.268935307770259,8.507102550085296,0.45221672406388297,0.0044341091701022,6.734574017993236e-18,1.1042527922576148e-18,2021-11-04-19-11-09,14/10/2021,1511,2,False,1,0,5,,,,,3
