,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
Trap 1,3.7934827965555176,9.291238223829634,0.3210320277484293,0.01836301686321657,1.4722395699456427e-19,1.2002111401918488e-19,2021-10-19-17-55-07,27/07/2021,1212,2,False,2,0,8,475,180,170,277,5
Trap 1,3.799680826810548,9.3429770081776,0.3210320277484293,0.01836301686321657,1.4722395699456427e-19,1.2002111401918488e-19,2021-10-19-17-55-07,27/07/2021,1212,2,False,2,0,8,475,180,170,277,5
Trap 1,3.817376698732631,9.385793448509721,0.3210320277484293,0.01836301686321657,1.4722395699456427e-19,1.2002111401918488e-19,2021-10-19-17-55-07,27/07/2021,1212,2,False,2,0,8,475,180,170,277,5
Trap 1,3.8236531181891182,9.432175396800066,0.3210320277484293,0.01836301686321657,1.4722395699456427e-19,1.2002111401918488e-19,2021-10-19-17-55-07,27/07/2021,1212,2,False,2,0,8,475,180,170,277,5
Trap 1,3.836120914531226,9.472941035829939,0.3210320277484293,0.01836301686321657,1.4722395699456427e-19,1.2002111401918488e-19,2021-10-19-17-55-07,27/07/2021,1212,2,False,2,0,8,475,180,170,277,5
Trap 1,3.8480778850963944,9.51172541968436,0.3210320277484293,0.01836301686321657,1.4722395699456427e-19,1.2002111401918488e-19,2021-10-19-17-55-07,27/07/2021,1212,2,False,2,0,8,475,180,170,277,5
Trap 1,3.860854793251226,9.548456325337268,0.3210320277484293,0.01836301686321657,1.4722395699456427e-19,1.2002111401918488e-19,2021-10-19-17-55-07,27/07/2021,1212,2,False,2,0,8,475,180,170,277,5
