,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Sample name,PICTS method,Info
Trap 1,4.9838026414154,7.513719444009225,0.4893632858101071,0.0165043616140377,1.2751535682808518e-12,1.2329178874905352e-12,2021-10-12-16-28-55,1213,2gates,
Trap 1,5.0163029847002765,7.6548852545297,0.4893632858101071,0.0165043616140377,1.2751535682808518e-12,1.2329178874905352e-12,2021-10-12-16-28-55,1213,2gates,
Trap 1,5.032459362890645,7.781970273870605,0.4893632858101071,0.0165043616140377,1.2751535682808518e-12,1.2329178874905352e-12,2021-10-12-16-28-55,1213,2gates,
Trap 1,5.05076013940098,7.892470643164095,0.4893632858101071,0.0165043616140377,1.2751535682808518e-12,1.2329178874905352e-12,2021-10-12-16-28-55,1213,2gates,
Trap 1,5.067909993918509,7.991104780239446,0.4893632858101071,0.0165043616140377,1.2751535682808518e-12,1.2329178874905352e-12,2021-10-12-16-28-55,1213,2gates,
Trap 1,5.08336722244815,8.080324203128571,0.4893632858101071,0.0165043616140377,1.2751535682808518e-12,1.2329178874905352e-12,2021-10-12-16-28-55,1213,2gates,
Trap 1,5.1025614858659045,8.159767657558664,0.4893632858101071,0.0165043616140377,1.2751535682808518e-12,1.2329178874905352e-12,2021-10-12-16-28-55,1213,2gates,
Trap 2,3.375299557835758,8.293137652021633,0.39320140144356,0.005394374367640542,1.4416286792395038e-18,3.112688044271347e-19,2021-10-12-16-28-55,1213,2gates,
Trap 2,3.4058785463710364,8.429265819086647,0.39320140144356,0.005394374367640542,1.4416286792395038e-18,3.112688044271347e-19,2021-10-12-16-28-55,1213,2gates,
Trap 2,3.429355281207133,8.549043323304161,0.39320140144356,0.005394374367640542,1.4416286792395038e-18,3.112688044271347e-19,2021-10-12-16-28-55,1213,2gates,
Trap 2,3.452800220979214,8.653177032227793,0.39320140144356,0.005394374367640542,1.4416286792395038e-18,3.112688044271347e-19,2021-10-12-16-28-55,1213,2gates,
Trap 2,3.4766888015853703,8.744801091409634,0.39320140144356,0.005394374367640542,1.4416286792395038e-18,3.112688044271347e-19,2021-10-12-16-28-55,1213,2gates,
Trap 2,3.4929616822103458,8.830771973507241,0.39320140144356,0.005394374367640542,1.4416286792395038e-18,3.112688044271347e-19,2021-10-12-16-28-55,1213,2gates,
Trap 2,3.5091413131206792,8.908510254283721,0.39320140144356,0.005394374367640542,1.4416286792395038e-18,3.112688044271347e-19,2021-10-12-16-28-55,1213,2gates,
