,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
Trap 1,3.782005219167202,9.052698646666741,0.23280065070542208,0.0038919612968508327,3.7836836601568165e-21,6.772101025281782e-22,2021-10-19-17-55-07,02/08/2021,1212,4,False,4,0,8,475,180,170,350,5
Trap 1,3.8547529103384472,9.237737080316165,0.23280065070542208,0.0038919612968508327,3.7836836601568165e-21,6.772101025281782e-22,2021-10-19-17-55-07,02/08/2021,1212,4,False,4,0,8,475,180,170,350,5
Trap 1,3.9100684261974585,9.391501621459376,0.23280065070542208,0.0038919612968508327,3.7836836601568165e-21,6.772101025281782e-22,2021-10-19-17-55-07,02/08/2021,1212,4,False,4,0,8,475,180,170,350,5
Trap 1,3.9511636176854084,9.524833434647181,0.23280065070542208,0.0038919612968508327,3.7836836601568165e-21,6.772101025281782e-22,2021-10-19-17-55-07,02/08/2021,1212,4,False,4,0,8,475,180,170,350,5
Trap 1,3.993131813281156,9.637080683202155,0.23280065070542208,0.0038919612968508327,3.7836836601568165e-21,6.772101025281782e-22,2021-10-19-17-55-07,02/08/2021,1212,4,False,4,0,8,475,180,170,350,5
Trap 1,4.030632809351069,9.73622970129958,0.23280065070542208,0.0038919612968508327,3.7836836601568165e-21,6.772101025281782e-22,2021-10-19-17-55-07,02/08/2021,1212,4,False,4,0,8,475,180,170,350,5
Trap 1,4.068679306697046,9.82286117476396,0.23280065070542208,0.0038919612968508327,3.7836836601568165e-21,6.772101025281782e-22,2021-10-19-17-55-07,02/08/2021,1212,4,False,4,0,8,475,180,170,350,5
Trap 1,4.102227509537679,9.901870198617125,0.23280065070542208,0.0038919612968508327,3.7836836601568165e-21,6.772101025281782e-22,2021-10-19-17-55-07,02/08/2021,1212,4,False,4,0,8,475,180,170,350,5
