,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
"Scan3 +5V,Trap 1(4G)",3.4530386740331487,9.007871672806965,0.4501806907333273,0.006435053914339424,9.715132084373826e-18,2.5583379758284965e-18,2021-11-04-19-32-43,20/10/2021,1512,4,True,3,0,5,,,,,3
"Scan3 +5V,Trap 1(4G)",3.470896532574364,9.122705214076435,0.4501806907333273,0.006435053914339424,9.715132084373826e-18,2.5583379758284965e-18,2021-11-04-19-32-43,20/10/2021,1512,4,True,3,0,5,,,,,3
"Scan3 +5V,Trap 1(4G)",3.488940060009769,9.223586707254281,0.4501806907333273,0.006435053914339424,9.715132084373826e-18,2.5583379758284965e-18,2021-11-04-19-32-43,20/10/2021,1512,4,True,3,0,5,,,,,3
"Scan3 +5V,Trap 1(4G)",3.5072951739618405,9.313162876969944,0.4501806907333273,0.006435053914339424,9.715132084373826e-18,2.5583379758284965e-18,2021-11-04-19-32-43,20/10/2021,1512,4,True,3,0,5,,,,,3
"Scan3 +5V,Trap 1(4G)",3.5255958256945426,9.39375199194368,0.4501806907333273,0.006435053914339424,9.715132084373826e-18,2.5583379758284965e-18,2021-11-04-19-32-43,20/10/2021,1512,4,True,3,0,5,,,,,3
"Scan3 +5V,Trap 1(4G)",3.5381948130064043,9.470038141424938,0.4501806907333273,0.006435053914339424,9.715132084373826e-18,2.5583379758284965e-18,2021-11-04-19-32-43,20/10/2021,1512,4,True,3,0,5,,,,,3
"Scan3 +5V,Trap 1(4G)",3.550379890648299,9.540058356225769,0.4501806907333273,0.006435053914339424,9.715132084373826e-18,2.5583379758284965e-18,2021-11-04-19-32-43,20/10/2021,1512,4,True,3,0,5,,,,,3
"Scan3 +5V,Trap 1(4G)",3.562649185934661,9.604721573580909,0.4501806907333273,0.006435053914339424,9.715132084373826e-18,2.5583379758284965e-18,2021-11-04-19-32-43,20/10/2021,1512,4,True,3,0,5,,,,,3
"Scan3 +5V,Trap 1(4G)",3.575770578559679,9.663930546605226,0.4501806907333273,0.006435053914339424,9.715132084373826e-18,2.5583379758284965e-18,2021-11-04-19-32-43,20/10/2021,1512,4,True,3,0,5,,,,,3
"Scan3 +5V,Trap 1(4G)",3.5884738220834675,9.71932585771077,0.4501806907333273,0.006435053914339424,9.715132084373826e-18,2.5583379758284965e-18,2021-11-04-19-32-43,20/10/2021,1512,4,True,3,0,5,,,,,3
