,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
Trap 1,3.506926179203928,9.83700495648774,0.28315564029048745,0.007524700602379956,6.347600923711541e-21,1.978152350648062e-21,2021-11-04-20-01-22,31/08/2021,1311,4,True,2,0,2,,,,,3
Trap 1,3.531572255968357,9.91502290360368,0.28315564029048745,0.007524700602379956,6.347600923711541e-21,1.978152350648062e-21,2021-11-04-20-01-22,31/08/2021,1311,4,True,2,0,2,,,,,3
Trap 1,3.550253843149785,9.988664827850705,0.28315564029048745,0.007524700602379956,6.347600923711541e-21,1.978152350648062e-21,2021-11-04-20-01-22,31/08/2021,1311,4,True,2,0,2,,,,,3
Trap 1,3.5688793718772307,10.055797831553889,0.28315564029048745,0.007524700602379956,6.347600923711541e-21,1.978152350648062e-21,2021-11-04-20-01-22,31/08/2021,1311,4,True,2,0,2,,,,,3
Trap 1,3.588216297678424,10.116933176728809,0.28315564029048745,0.007524700602379956,6.347600923711541e-21,1.978152350648062e-21,2021-11-04-20-01-22,31/08/2021,1311,4,True,2,0,2,,,,,3
Trap 1,3.607633753021393,10.173380593262593,0.28315564029048745,0.007524700602379956,6.347600923711541e-21,1.978152350648062e-21,2021-11-04-20-01-22,31/08/2021,1311,4,True,2,0,2,,,,,3
Trap 1,3.627262504987486,10.22549969181861,0.28315564029048745,0.007524700602379956,6.347600923711541e-21,1.978152350648062e-21,2021-11-04-20-01-22,31/08/2021,1311,4,True,2,0,2,,,,,3
