,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
"Scan2 -5V,Trap 2(2G)",3.07323519468945,7.674277260968344,0.5776551512689855,0.015323672262322195,4.940313883099626e-16,2.7729734148197887e-16,2021-11-04-19-11-12,14/10/2021,1511,2,False,2,0,-5,,,,,3
"Scan2 -5V,Trap 2(2G)",3.106265337185102,7.83521815316615,0.5776551512689855,0.015323672262322195,4.940313883099626e-16,2.7729734148197887e-16,2021-11-04-19-11-12,14/10/2021,1511,2,False,2,0,-5,,,,,3
"Scan2 -5V,Trap 2(2G)",3.1207090250905005,7.980078477937985,0.5776551512689855,0.015323672262322195,4.940313883099626e-16,2.7729734148197887e-16,2021-11-04-19-11-12,14/10/2021,1511,2,False,2,0,-5,,,,,3
"Scan2 -5V,Trap 2(2G)",3.135484275546358,8.10418338144684,0.5776551512689855,0.015323672262322195,4.940313883099626e-16,2.7729734148197887e-16,2021-11-04-19-11-12,14/10/2021,1511,2,False,2,0,-5,,,,,3
"Scan2 -5V,Trap 2(2G)",3.155071777882947,8.209503065520375,0.5776551512689855,0.015323672262322195,4.940313883099626e-16,2.7729734148197887e-16,2021-11-04-19-11-12,14/10/2021,1511,2,False,2,0,-5,,,,,3
"Scan2 -5V,Trap 2(2G)",3.1749055465599896,8.302330308107768,0.5776551512689855,0.015323672262322195,4.940313883099626e-16,2.7729734148197887e-16,2021-11-04-19-11-12,14/10/2021,1511,2,False,2,0,-5,,,,,3
"Scan2 -5V,Trap 2(2G)",3.1799535726778387,8.394458994160937,0.5776551512689855,0.015323672262322195,4.940313883099626e-16,2.7729734148197887e-16,2021-11-04-19-11-12,14/10/2021,1511,2,False,2,0,-5,,,,,3
"Scan2 -5V,Trap 2(2G)",3.195092338168573,8.471951261060681,0.5776551512689855,0.015323672262322195,4.940313883099626e-16,2.7729734148197887e-16,2021-11-04-19-11-12,14/10/2021,1511,2,False,2,0,-5,,,,,3
"Scan2 -5V,Trap 2(2G)",3.205333675235592,8.545605750031822,0.5776551512689855,0.015323672262322195,4.940313883099626e-16,2.7729734148197887e-16,2021-11-04-19-11-12,14/10/2021,1511,2,False,2,0,-5,,,,,3
"Scan2 -5V,Trap 2(2G)",3.2155374770892955,8.613385529259956,0.5776551512689855,0.015323672262322195,4.940313883099626e-16,2.7729734148197887e-16,2021-11-04-19-11-12,14/10/2021,1511,2,False,2,0,-5,,,,,3
