,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
"Scan4 -5V, Trap2(4G)",3.107230525432682,9.04505479430364,0.6459270379323689,0.015345477537759777,1.793288582547435e-15,1.010499367479163e-15,2021-11-04-19-12-47,21/10/2021,1511,4,True,4,0,-5,,,,,3
"Scan4 -5V, Trap2(4G)",3.126367785906334,9.186870804268153,0.6459270379323689,0.015345477537759777,1.793288582547435e-15,1.010499367479163e-15,2021-11-04-19-12-47,21/10/2021,1511,4,True,4,0,-5,,,,,3
"Scan4 -5V, Trap2(4G)",3.1413941507240914,9.31078527981555,0.6459270379323689,0.015345477537759777,1.793288582547435e-15,1.010499367479163e-15,2021-11-04-19-12-47,21/10/2021,1511,4,True,4,0,-5,,,,,3
"Scan4 -5V, Trap2(4G)",3.151194302640701,9.422420499385666,0.6459270379323689,0.015345477537759777,1.793288582547435e-15,1.010499367479163e-15,2021-11-04-19-12-47,21/10/2021,1511,4,True,4,0,-5,,,,,3
"Scan4 -5V, Trap2(4G)",3.166059838530948,9.518286504711961,0.6459270379323689,0.015345477537759777,1.793288582547435e-15,1.010499367479163e-15,2021-11-04-19-12-47,21/10/2021,1511,4,True,4,0,-5,,,,,3
"Scan4 -5V, Trap2(4G)",3.1810662934215546,9.604207698365276,0.6459270379323689,0.015345477537759777,1.793288582547435e-15,1.010499367479163e-15,2021-11-04-19-12-47,21/10/2021,1511,4,True,4,0,-5,,,,,3
"Scan4 -5V, Trap2(4G)",3.191115933241855,9.684842428868656,0.6459270379323689,0.015345477537759777,1.793288582547435e-15,1.010499367479163e-15,2021-11-04-19-12-47,21/10/2021,1511,4,True,4,0,-5,,,,,3
"Scan4 -5V, Trap2(4G)",3.201331754009668,9.758492699738936,0.6459270379323689,0.015345477537759777,1.793288582547435e-15,1.010499367479163e-15,2021-11-04-19-12-47,21/10/2021,1511,4,True,4,0,-5,,,,,3
"Scan4 -5V, Trap2(4G)",3.2114069173705,9.826343476395389,0.6459270379323689,0.015345477537759777,1.793288582547435e-15,1.010499367479163e-15,2021-11-04-19-12-47,21/10/2021,1511,4,True,4,0,-5,,,,,3
"Scan4 -5V,Trap 1(4G)",3.735803945008966,8.676592357142642,0.8488904682405234,0.03799784384681148,1.8898456360695616e-09,3.149452637007118e-09,2021-11-04-19-12-47,21/10/2021,1511,4,True,4,0,-5,,,,,3
"Scan4 -5V,Trap 1(4G)",3.749390724007349,8.823427855738949,0.8488904682405234,0.03799784384681148,1.8898456360695616e-09,3.149452637007118e-09,2021-11-04-19-12-47,21/10/2021,1511,4,True,4,0,-5,,,,,3
"Scan4 -5V,Trap 1(4G)",3.763359927743489,8.949494364302414,0.8488904682405234,0.03799784384681148,1.8898456360695616e-09,3.149452637007118e-09,2021-11-04-19-12-47,21/10/2021,1511,4,True,4,0,-5,,,,,3
"Scan4 -5V,Trap 1(4G)",3.770596885486973,9.06351692075668,0.8488904682405234,0.03799784384681148,1.8898456360695616e-09,3.149452637007118e-09,2021-11-04-19-12-47,21/10/2021,1511,4,True,4,0,-5,,,,,3
"Scan4 -5V,Trap 1(4G)",3.777433611604276,9.165172547348423,0.8488904682405234,0.03799784384681148,1.8898456360695616e-09,3.149452637007118e-09,2021-11-04-19-12-47,21/10/2021,1511,4,True,4,0,-5,,,,,3
"Scan4 -5V,Trap 1(4G)",3.7919005005308657,9.252905914859525,0.8488904682405234,0.03799784384681148,1.8898456360695616e-09,3.149452637007118e-09,2021-11-04-19-12-47,21/10/2021,1511,4,True,4,0,-5,,,,,3
"Scan4 -5V,Trap 1(4G)",3.7988147697918246,9.336205553992333,0.8488904682405234,0.03799784384681148,1.8898456360695616e-09,3.149452637007118e-09,2021-11-04-19-12-47,21/10/2021,1511,4,True,4,0,-5,,,,,3
"Scan4 -5V,Trap 1(4G)",3.806043997868615,9.412445834572756,0.8488904682405234,0.03799784384681148,1.8898456360695616e-09,3.149452637007118e-09,2021-11-04-19-12-47,21/10/2021,1511,4,True,4,0,-5,,,,,3
"Scan4 -5V,Trap 1(4G)",3.8204393505253105,9.479030884203942,0.8488904682405234,0.03799784384681148,1.8898456360695616e-09,3.149452637007118e-09,2021-11-04-19-12-47,21/10/2021,1511,4,True,4,0,-5,,,,,3
