,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
Trap 1,3.588087549336204,9.39479736192547,0.3187158761492864,0.00836226792247248,5.687306596263894e-20,2.031110572004726e-20,2021-11-04-20-01-20,27/08/2021,1311,4,False,1,0,2,,,,,3
Trap 1,3.613761202659728,9.489016852466111,0.3187158761492864,0.00836226792247248,5.687306596263894e-20,2.031110572004726e-20,2021-11-04-20-01-20,27/08/2021,1311,4,False,1,0,2,,,,,3
Trap 1,3.633324855575337,9.576034219162606,0.3187158761492864,0.00836226792247248,5.687306596263894e-20,2.031110572004726e-20,2021-11-04-20-01-20,27/08/2021,1311,4,False,1,0,2,,,,,3
Trap 1,3.653101483159202,9.654492364251963,0.3187158761492864,0.00836226792247248,5.687306596263894e-20,2.031110572004726e-20,2021-11-04-20-01-20,27/08/2021,1311,4,False,1,0,2,,,,,3
Trap 1,3.6798528058877644,9.721591227061577,0.3187158761492864,0.00836226792247248,5.687306596263894e-20,2.031110572004726e-20,2021-11-04-20-01-20,27/08/2021,1311,4,False,1,0,2,,,,,3
Trap 1,3.6998668047950276,9.786467598771205,0.3187158761492864,0.00836226792247248,5.687306596263894e-20,2.031110572004726e-20,2021-11-04-20-01-20,27/08/2021,1311,4,False,1,0,2,,,,,3
Trap 1,3.713606654783126,9.849422254441427,0.3187158761492864,0.00836226792247248,5.687306596263894e-20,2.031110572004726e-20,2021-11-04-20-01-20,27/08/2021,1311,4,False,1,0,2,,,,,3
Trap 1,3.727448933949605,9.907582927350388,0.3187158761492864,0.00836226792247248,5.687306596263894e-20,2.031110572004726e-20,2021-11-04-20-01-20,27/08/2021,1311,4,False,1,0,2,,,,,3
Trap 1,3.7412548168655766,9.961755678228803,0.3187158761492864,0.00836226792247248,5.687306596263894e-20,2.031110572004726e-20,2021-11-04-20-01-20,27/08/2021,1311,4,False,1,0,2,,,,,3
Trap 1,3.748266426777615,10.016042467367232,0.3187158761492864,0.00836226792247248,5.687306596263894e-20,2.031110572004726e-20,2021-11-04-20-01-20,27/08/2021,1311,4,False,1,0,2,,,,,3
