,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
Trap 1,3.553660270078181,8.66464329300199,0.29675512908443363,0.0037224221535812592,4.1773820123073885e-20,6.886833510809153e-21,2021-10-19-17-55-07,27/07/2021,1212,4,False,1,0,8,475,180,170,350,5
Trap 1,3.6901730691169417,9.148886924979186,0.29675512908443363,0.0037224221535812592,4.1773820123073885e-20,6.886833510809153e-21,2021-10-19-17-55-07,27/07/2021,1212,4,False,1,0,8,475,180,170,350,5
Trap 1,3.776720296094872,9.459251497513145,0.29675512908443363,0.0037224221535812592,4.1773820123073885e-20,6.886833510809153e-21,2021-10-19-17-55-07,27/07/2021,1212,4,False,1,0,8,475,180,170,350,5
Trap 1,3.8497074222359102,9.683241962164269,0.29675512908443363,0.0037224221535812592,4.1773820123073885e-20,6.886833510809153e-21,2021-10-19-17-55-07,27/07/2021,1212,4,False,1,0,8,475,180,170,350,5
Trap 1,3.90579228996602,9.862118974300964,0.29675512908443363,0.0037224221535812592,4.1773820123073885e-20,6.886833510809153e-21,2021-10-19-17-55-07,27/07/2021,1212,4,False,1,0,8,475,180,170,350,5
Trap 1,3.9444619753865573,10.01413734619592,0.29675512908443363,0.0037224221535812592,4.1773820123073885e-20,6.886833510809153e-21,2021-10-19-17-55-07,27/07/2021,1212,4,False,1,0,8,475,180,170,350,5
Trap 1,3.9767756303189374,10.144295202781478,0.29675512908443363,0.0037224221535812592,4.1773820123073885e-20,6.886833510809153e-21,2021-10-19-17-55-07,27/07/2021,1212,4,False,1,0,8,475,180,170,350,5
