,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
Trap 1,3.140900810352409,8.043222476511952,0.3260339348432962,0.008072149016966726,5.446182781826446e-20,1.6391715645769728e-20,2021-10-21-16-18-35,03/08/2021,1213,4,True,2,0,8,475,180,170,350,4
Trap 1,3.1606561522172005,8.141908095431102,0.3260339348432962,0.008072149016966726,5.446182781826446e-20,1.6391715645769728e-20,2021-10-21-16-18-35,03/08/2021,1213,4,True,2,0,8,475,180,170,350,4
Trap 1,3.1874541803461574,8.225103974828757,0.3260339348432962,0.008072149016966726,5.446182781826446e-20,1.6391715645769728e-20,2021-10-21-16-18-35,03/08/2021,1213,4,True,2,0,8,475,180,170,350,4
Trap 1,3.208007185936096,8.30324444615574,0.3260339348432962,0.008072149016966726,5.446182781826446e-20,1.6391715645769728e-20,2021-10-21-16-18-35,03/08/2021,1213,4,True,2,0,8,475,180,170,350,4
Trap 1,3.2285142377477882,8.373854734400895,0.3260339348432962,0.008072149016966726,5.446182781826446e-20,1.6391715645769728e-20,2021-10-21-16-18-35,03/08/2021,1213,4,True,2,0,8,475,180,170,350,4
Trap 1,3.2423318850917577,8.44230499179725,0.3260339348432962,0.008072149016966726,5.446182781826446e-20,1.6391715645769728e-20,2021-10-21-16-18-35,03/08/2021,1213,4,True,2,0,8,475,180,170,350,4
Trap 1,3.2563743527955977,8.505117090729216,0.3260339348432962,0.008072149016966726,5.446182781826446e-20,1.6391715645769728e-20,2021-10-21-16-18-35,03/08/2021,1213,4,True,2,0,8,475,180,170,350,4
Trap 1,3.277613897082923,8.558771600605885,0.3260339348432962,0.008072149016966726,5.446182781826446e-20,1.6391715645769728e-20,2021-10-21-16-18-35,03/08/2021,1213,4,True,2,0,8,475,180,170,350,4
