,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
"Scan4 -5V,Trap 1(2G)",2.974331518991107,7.739700264621996,0.5134696465594963,0.00897697291560623,2.565300056217753e-17,8.118007916408059e-18,2021-11-04-19-12-47,21/10/2021,1511,2,False,4,0,-5,,,,,3
"Scan4 -5V,Trap 1(2G)",2.996344459759094,7.873363889573506,0.5134696465594963,0.00897697291560623,2.565300056217753e-17,8.118007916408059e-18,2021-11-04-19-12-47,21/10/2021,1511,2,False,4,0,-5,,,,,3
"Scan4 -5V,Trap 1(2G)",3.018867924528302,7.987611705012686,0.5134696465594963,0.00897697291560623,2.565300056217753e-17,8.118007916408059e-18,2021-11-04-19-12-47,21/10/2021,1511,2,False,4,0,-5,,,,,3
"Scan4 -5V,Trap 1(2G)",3.032508491023775,8.093006348985451,0.5134696465594963,0.00897697291560623,2.565300056217753e-17,8.118007916408059e-18,2021-11-04-19-12-47,21/10/2021,1511,2,False,4,0,-5,,,,,3
"Scan4 -5V,Trap 1(2G)",3.0509198523354795,8.183560246365966,0.5134696465594963,0.00897697291560623,2.565300056217753e-17,8.118007916408059e-18,2021-11-04-19-12-47,21/10/2021,1511,2,False,4,0,-5,,,,,3
"Scan4 -5V,Trap 1(2G)",3.064852274120388,8.267526816924782,0.5134696465594963,0.00897697291560623,2.565300056217753e-17,8.118007916408059e-18,2021-11-04-19-12-47,21/10/2021,1511,2,False,4,0,-5,,,,,3
"Scan4 -5V,Trap 1(2G)",3.074274471224791,8.346544695053444,0.5134696465594963,0.00897697291560623,2.565300056217753e-17,8.118007916408059e-18,2021-11-04-19-12-47,21/10/2021,1511,2,False,4,0,-5,,,,,3
"Scan4 -5V,Trap 1(2G)",3.0882307526018344,8.415946075362719,0.5134696465594963,0.00897697291560623,2.565300056217753e-17,8.118007916408059e-18,2021-11-04-19-12-47,21/10/2021,1511,2,False,4,0,-5,,,,,3
