,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
Trap 1,4.03518682915019,6.51046626658307,0.4958754719002935,0.02243840934807015,2.1307180532434586e-14,2.268550440440721e-14,2021-10-21-16-18-35,03/08/2021,1213,4,True,1,0,8,475,180,170,350,4
Trap 1,4.056959714390036,6.6332289023979225,0.4958754719002935,0.02243840934807015,2.1307180532434586e-14,2.268550440440721e-14,2021-10-21-16-18-35,03/08/2021,1213,4,True,1,0,8,475,180,170,350,4
Trap 1,4.078802463596689,6.740280600903943,0.4958754719002935,0.02243840934807015,2.1307180532434586e-14,2.268550440440721e-14,2021-10-21-16-18-35,03/08/2021,1213,4,True,1,0,8,475,180,170,350,4
Trap 1,4.08997955010225,6.84015709521459,0.4958754719002935,0.02243840934807015,2.1307180532434586e-14,2.268550440440721e-14,2021-10-21-16-18-35,03/08/2021,1213,4,True,1,0,8,475,180,170,350,4
Trap 1,4.101049868766404,6.930067456016095,0.4958754719002935,0.02243840934807015,2.1307180532434586e-14,2.268550440440721e-14,2021-10-21-16-18-35,03/08/2021,1213,4,True,1,0,8,475,180,170,350,4
Trap 1,4.123881397171017,7.005965852105847,0.4958754719002935,0.02243840934807015,2.1307180532434586e-14,2.268550440440721e-14,2021-10-21-16-18-35,03/08/2021,1213,4,True,1,0,8,475,180,170,350,4
Trap 1,4.135307253328922,7.080473346997241,0.4958754719002935,0.02243840934807015,2.1307180532434586e-14,2.268550440440721e-14,2021-10-21-16-18-35,03/08/2021,1213,4,True,1,0,8,475,180,170,350,4
Trap 2,3.4058785463710364,6.849565626418053,0.7951419283173525,0.03844166731533065,5.5346402670386685e-11,8.492045627283598e-11,2021-10-21-16-18-35,03/08/2021,1213,4,True,1,0,8,475,180,170,350,4
Trap 2,3.4213767620090327,6.974010546826907,0.7951419283173525,0.03844166731533065,5.5346402670386685e-11,8.492045627283598e-11,2021-10-21-16-18-35,03/08/2021,1213,4,True,1,0,8,475,180,170,350,4
Trap 2,3.429355281207133,7.087142906224907,0.7951419283173525,0.03844166731533065,5.5346402670386685e-11,8.492045627283598e-11,2021-10-21-16-18-35,03/08/2021,1213,4,True,1,0,8,475,180,170,350,4
Trap 2,3.43713480442703,7.187960598075368,0.7951419283173525,0.03844166731533065,5.5346402670386685e-11,8.492045627283598e-11,2021-10-21-16-18-35,03/08/2021,1213,4,True,1,0,8,475,180,170,350,4
Trap 2,3.452800220979214,7.274182348820445,0.7951419283173525,0.03844166731533065,5.5346402670386685e-11,8.492045627283598e-11,2021-10-21-16-18-35,03/08/2021,1213,4,True,1,0,8,475,180,170,350,4
Trap 2,3.460686600221484,7.356621447735362,0.7951419283173525,0.03844166731533065,5.5346402670386685e-11,8.492045627283598e-11,2021-10-21-16-18-35,03/08/2021,1213,4,True,1,0,8,475,180,170,350,4
Trap 2,3.468729404419161,7.432019887408845,0.7951419283173525,0.03844166731533065,5.5346402670386685e-11,8.492045627283598e-11,2021-10-21-16-18-35,03/08/2021,1213,4,True,1,0,8,475,180,170,350,4
