,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
"Scan1 +5V,Trap 1(4g)",3.214400514304082,8.789663921045992,0.24842255029624655,0.009383633629337656,1.907189071689296e-21,6.781407026900038e-22,2021-11-04-19-32-39,13/10/2021,1512,4,True,1,0,5,,,,,3
"Scan1 +5V,Trap 1(4g)",3.2349896480331264,8.853646323027466,0.24842255029624655,0.009383633629337656,1.907189071689296e-21,6.781407026900038e-22,2021-11-04-19-32-39,13/10/2021,1512,4,True,1,0,5,,,,,3
"Scan1 +5V,Trap 1(4g)",3.2614722285639735,8.908606734149327,0.24842255029624655,0.009383633629337656,1.907189071689296e-21,6.781407026900038e-22,2021-11-04-19-32-39,13/10/2021,1512,4,True,1,0,5,,,,,3
"Scan1 +5V,Trap 1(4g)",3.277184243298158,8.96550730408571,0.24842255029624655,0.009383633629337656,1.907189071689296e-21,6.781407026900038e-22,2021-11-04-19-32-39,13/10/2021,1512,4,True,1,0,5,,,,,3
"Scan1 +5V,Trap 1(4g)",3.2933737320511134,9.018006437797503,0.24842255029624655,0.009383633629337656,1.907189071689296e-21,6.781407026900038e-22,2021-11-04-19-32-39,13/10/2021,1512,4,True,1,0,5,,,,,3
"Scan1 +5V,Trap 1(4g)",3.3096144299189145,9.066859393828041,0.24842255029624655,0.009383633629337656,1.907189071689296e-21,6.781407026900038e-22,2021-11-04-19-32-39,13/10/2021,1512,4,True,1,0,5,,,,,3
