,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
Trap 1,3.4391443408879874,8.979129744807679,0.28305663320435837,0.009724462762764865,1.1168169545949282e-20,4.661186066225558e-21,2021-10-19-17-55-07,27/07/2021,1212,4,False,3,0,8,475,180,170,350,5
Trap 1,3.5300762496469926,9.332354385591623,0.28305663320435837,0.009724462762764865,1.1168169545949282e-20,4.661186066225558e-21,2021-10-19-17-55-07,27/07/2021,1212,4,False,3,0,8,475,180,170,350,5
Trap 1,3.5935029466724164,9.584467374176018,0.28305663320435837,0.009724462762764865,1.1168169545949282e-20,4.661186066225558e-21,2021-10-19-17-55-07,27/07/2021,1212,4,False,3,0,8,475,180,170,350,5
Trap 1,3.6427218417601632,9.780309702404443,0.28305663320435837,0.009724462762764865,1.1168169545949282e-20,4.661186066225558e-21,2021-10-19-17-55-07,27/07/2021,1212,4,False,3,0,8,475,180,170,350,5
Trap 1,3.6928985560766643,9.935457971507883,0.28305663320435837,0.009724462762764865,1.1168169545949282e-20,4.661186066225558e-21,2021-10-19-17-55-07,27/07/2021,1212,4,False,3,0,8,475,180,170,350,5
Trap 1,3.739016638624042,10.06469282595508,0.28305663320435837,0.009724462762764865,1.1168169545949282e-20,4.661186066225558e-21,2021-10-19-17-55-07,27/07/2021,1212,4,False,3,0,8,475,180,170,350,5
Trap 1,3.7744394957348835,10.179178017834088,0.28305663320435837,0.009724462762764865,1.1168169545949282e-20,4.661186066225558e-21,2021-10-19-17-55-07,27/07/2021,1212,4,False,3,0,8,475,180,170,350,5
Trap 1,3.816356905697821,10.274872285023898,0.28305663320435837,0.009724462762764865,1.1168169545949282e-20,4.661186066225558e-21,2021-10-19-17-55-07,27/07/2021,1212,4,False,3,0,8,475,180,170,350,5
Trap 1,3.8529706403637203,10.36123031350169,0.28305663320435837,0.009724462762764865,1.1168169545949282e-20,4.661186066225558e-21,2021-10-19-17-55-07,27/07/2021,1212,4,False,3,0,8,475,180,170,350,5
Trap 1,3.8782237735117313,10.443615656569078,0.28305663320435837,0.009724462762764865,1.1168169545949282e-20,4.661186066225558e-21,2021-10-19-17-55-07,27/07/2021,1212,4,False,3,0,8,475,180,170,350,5
