,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
"Scan3 +5V, Trap2(4G)",3.256904637832204,8.768628750523838,0.40497436170686324,0.005575171305303068,8.073104277734218e-19,1.737133440328875e-19,2021-11-04-19-12-11,21/10/2021,1511,4,True,3,0,5,,,,,3
"Scan3 +5V, Trap2(4G)",3.278258589037503,8.886530858002038,0.40497436170686324,0.005575171305303068,8.073104277734218e-19,1.737133440328875e-19,2021-11-04-19-12-11,21/10/2021,1511,4,True,3,0,5,,,,,3
"Scan3 +5V, Trap2(4G)",3.2998944033790916,8.989216009777136,0.40497436170686324,0.005575171305303068,8.073104277734218e-19,1.737133440328875e-19,2021-11-04-19-12-11,21/10/2021,1511,4,True,3,0,5,,,,,3
"Scan3 +5V, Trap2(4G)",3.3219280470385013,9.079754868655462,0.40497436170686324,0.005575171305303068,8.073104277734218e-19,1.737133440328875e-19,2021-11-04-19-12-11,21/10/2021,1511,4,True,3,0,5,,,,,3
"Scan3 +5V, Trap2(4G)",3.3382294031245827,9.163919773486374,0.40497436170686324,0.005575171305303068,8.073104277734218e-19,1.737133440328875e-19,2021-11-04-19-12-11,21/10/2021,1511,4,True,3,0,5,,,,,3
"Scan3 +5V, Trap2(4G)",3.3550291887539423,9.239808718815642,0.40497436170686324,0.005575171305303068,8.073104277734218e-19,1.737133440328875e-19,2021-11-04-19-12-11,21/10/2021,1511,4,True,3,0,5,,,,,3
"Scan3 +5V, Trap2(4G)",3.371657844161975,9.309142412971951,0.40497436170686324,0.005575171305303068,8.073104277734218e-19,1.737133440328875e-19,2021-11-04-19-12-11,21/10/2021,1511,4,True,3,0,5,,,,,3
"Scan3 +5V, Trap2(4G)",3.383064379715146,9.375656235513565,0.40497436170686324,0.005575171305303068,8.073104277734218e-19,1.737133440328875e-19,2021-11-04-19-12-11,21/10/2021,1511,4,True,3,0,5,,,,,3
"Scan3 +5V,Trap 1(4G)",3.727171077152441,8.498884200868215,0.8210039571564529,0.037156049013674426,6.590644044756599e-10,1.070793764047817e-09,2021-11-04-19-12-11,21/10/2021,1511,4,True,3,0,5,,,,,3
"Scan3 +5V,Trap 1(4G)",3.747704530974778,8.618868529899926,0.8210039571564529,0.037156049013674426,6.590644044756599e-10,1.070793764047817e-09,2021-11-04-19-12-11,21/10/2021,1511,4,True,3,0,5,,,,,3
"Scan3 +5V,Trap 1(4G)",3.754740359704127,8.730958672532285,0.8210039571564529,0.037156049013674426,6.590644044756599e-10,1.070793764047817e-09,2021-11-04-19-12-11,21/10/2021,1511,4,True,3,0,5,,,,,3
"Scan3 +5V,Trap 1(4G)",3.7684654808561953,8.827509802820137,0.8210039571564529,0.037156049013674426,6.590644044756599e-10,1.070793764047817e-09,2021-11-04-19-12-11,21/10/2021,1511,4,True,3,0,5,,,,,3
"Scan3 +5V,Trap 1(4G)",3.77600724993392,8.917466532118121,0.8210039571564529,0.037156049013674426,6.590644044756599e-10,1.070793764047817e-09,2021-11-04-19-12-11,21/10/2021,1511,4,True,3,0,5,,,,,3
"Scan3 +5V,Trap 1(4G)",3.783149850565581,8.999615746867844,0.8210039571564529,0.037156049013674426,6.590644044756599e-10,1.070793764047817e-09,2021-11-04-19-12-11,21/10/2021,1511,4,True,3,0,5,,,,,3
"Scan3 +5V,Trap 1(4G)",3.789888577275828,9.07527830449565,0.8210039571564529,0.037156049013674426,6.590644044756599e-10,1.070793764047817e-09,2021-11-04-19-12-11,21/10/2021,1511,4,True,3,0,5,,,,,3
"Scan3 +5V,Trap 1(4G)",3.7970838396111786,9.144753352485989,0.8210039571564529,0.037156049013674426,6.590644044756599e-10,1.070793764047817e-09,2021-11-04-19-12-11,21/10/2021,1511,4,True,3,0,5,,,,,3
