,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Sample name,PICTS method,Info
Trap 1,3.4282971647982445,8.772834416487722,0.5377027707828022,0.028226729716056897,3.683802134934753e-16,4.2199435553270947e-16,2021-10-12-16-28-45,1113,2gates,
Trap 1,3.466564980760564,8.932924619955397,0.5377027707828022,0.028226729716056897,3.683802134934753e-16,4.2199435553270947e-16,2021-10-12-16-28-45,1113,2gates,
Trap 1,3.4868719271941138,9.075408768663102,0.5377027707828022,0.028226729716056897,3.683802134934753e-16,4.2199435553270947e-16,2021-10-12-16-28-45,1113,2gates,
Trap 1,3.497359493582345,9.202857851276177,0.5377027707828022,0.028226729716056897,3.683802134934753e-16,4.2199435553270947e-16,2021-10-12-16-28-45,1113,2gates,
Trap 1,3.5181536729524345,9.308890972761038,0.5377027707828022,0.028226729716056897,3.683802134934753e-16,4.2199435553270947e-16,2021-10-12-16-28-45,1113,2gates,
Trap 1,3.5323207347227124,9.406198792304025,0.5377027707828022,0.028226729716056897,3.683802134934753e-16,4.2199435553270947e-16,2021-10-12-16-28-45,1113,2gates,
Trap 1,3.549497746068931,9.491806918841906,0.5377027707828022,0.028226729716056897,3.683802134934753e-16,4.2199435553270947e-16,2021-10-12-16-28-45,1113,2gates,
